@relation tweet_sentiment
@attribute 'Sentiment' {positive,negative}
@attribute 'tweet' string
@data
negative,'VirginAmerica its really aggressive to blast obnoxious entertainment in your guests faces'
negative,'VirginAmerica and its a really big bad thing about it'
negative,'VirginAmerica seriously would pay 30 a flight for seats that didnt have this playing'
positive,'VirginAmerica it was amazing and arrived an hour early Youre too good to me'
positive,'VirginAmerica I lt'
positive,'VirginAmerica This is such a great deal Already thinking about my 2nd trip to Australia amp'
positive,'VirginAmerica Thanks'
positive,'VirginAmerica So excited for my first cross country flight LAX to MCO Ive heard nothing but great things about Virgin America 29DaysToGo'
negative,'VirginAmerica  I flew from NYC to SFO last week and couldnt fully sit in my seat due to two large gentleman on either side of me HELP'
positive,'I love flying VirginAmerica smile thumbs up '
positive,'VirginAmerica you know what would be amazingly awesome BOSFLL PLEASE I want to fly with only you'
positive,'VirginAmerica I love this graphic httptcoUT5GrRwAaA'
positive,'VirginAmerica I love the hipster innovation You are a feel good brand'
negative,'VirginAmerica you guys messed up my seating I reserved seating with my friends and you guys gave my seat away   bad  I want free internet'
negative,'VirginAmerica status match program  I applied and its been three weeks  Called and emailed with no response'
negative,'VirginAmerica What happened 2 ur vegan food options At least say on ur site so i know I wont be able 2 eat anything for next 6 hrs fail'
negative,'VirginAmerica amazing to me that we cant get any cold air from the vents VX358 noair worstflightever roasted SFOtoBOS'
negative,'VirginAmerica hi I just bked a cool birthday trip with you but i cant add my elevate no cause i entered my middle name during Flight Booking Problems  unamused '
negative,'VirginAmerica help left expensive headphones on flight 89 IAD to LAX today Seat 2A No one answering Lamp'
negative,'VirginAmerica awaiting my return phone call just would prefer to use your online selfservice option '
positive,'VirginAmerica this is great news  America could start flights to Hawaii by end of year httptcor8p2Zy3fe4 via Pacificbiznews'
positive,'VirginAmerica Moodlighting is the only way to fly Best experience EVER Cool and calming  love  MoodlitMonday'
positive,'VirginAmerica freddieawards Done and done Best airline around hands down'
negative,'VirginAmerica Your chat support is not working on your site httptcovhp2GtDWPk'
positive,'VirginAmerica Im elevategold for a good reason you rock'
positive,'VirginAmerica wow this just blew my mind'
positive,'VirginAmerica you know it Need it on my spotify stat guiltypleasures'
negative,'VirginAmerica I called a 34 weeks ago about adding 3 flights from 2014 to my Elevatethey still havent shown uphelp'
